code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000921,海信家电,家用电器,广东,7.68,9.02,13.63,331.8,253.59,34.47,20.62,1.51,0.99,6.08,1.67,19990713,42.76,3.14,-6.24,17.62,20.41,4.99,30858.0
300553,集智股份,电器仪表,浙江,79.2,0.25,0.48,3.76,2.81,0.85,1.65,3.43,0.32299999999999995,6.92,4.92,20161021,1.0,2.09,6.27,-14.7,45.61,13.72,7319.0
600086,东方金钰,服饰,湖北,0.0,10.57,13.5,116.87,95.01,1.39,13.13,0.97,-0.377,1.23,2.24,19970606,-10.48,-0.78,-79.17,-616.12,0.54,-99.2,88718.0
002388,新亚制程,元器件,深圳,75.17,4.0,5.04,20.08,15.59,2.98,4.75,0.94,0.069,2.32,2.97,20100413,1.79,0.36,45.45,52.74,15.35,3.54,42333.0
000031,大悦城,全国地产,深圳,8.34,18.14,39.26,1770.63,1282.12,43.6,59.49,1.52,0.62,4.39,1.57,19931008,64.51,1.64,68.28,47.08,48.41,10.91,148776.0
002169,智光电气,电气设备,广东,99.28,7.63,7.88,55.24,31.39,9.95,15.42,1.96,0.055,3.44,2.13,20070919,4.38,0.56,-15.9,-47.76,19.0,2.72,58672.0
601519,大智慧,软件服务,上海,0.0,19.88,19.88,19.54,12.62,0.22,11.45,0.58,-0.043,0.69,10.01,20110128,-18.49,-0.93,6.88,-119.33,58.11,-19.09,202432.0
300374,恒通科技,其他建材,北京,32.65,1.7,2.46,28.14,13.16,5.22,7.6,3.09,0.2,6.14,1.42,20150319,4.85,1.97,0.56,-7.33,29.7,9.36,14430.0
002840,华统股份,食品,浙江,38.29,1.47,2.77,27.46,9.54,9.44,5.26,1.9,0.33,5.14,3.21,20170110,6.44,2.32,46.94,-9.27,5.27,1.66,13381.0
300680,隆盛科技,汽车配件,江苏,53.04,0.41,0.74,9.64,3.78,2.08,3.61,4.86,0.272,7.23,2.66,20170725,0.89,1.19,132.25,178.01,27.99,7.33,7912.0
002626,金达威,食品,福建,16.44,6.16,6.16,48.16,20.07,5.35,8.85,1.44,0.857,4.9,3.83,20111028,12.98,2.11,10.47,-18.88,47.47,22.99,16969.0
002022,科华生物,医疗保健,上海,21.24,5.13,5.15,36.22,18.44,4.13,2.96,0.58,0.40399999999999997,4.54,2.52,20040721,13.24,2.57,20.03,3.75,45.09,11.79,44759.0
300408,三环集团,元器件,广东,34.08,16.51,17.43,82.96,50.8,18.82,3.8,0.22,0.39,4.19,4.15,20141203,45.43,2.61,-29.58,-28.38,50.02,33.42,23381.0
601669,中国电建,建筑工程,北京,8.13,111.44,152.99,8118.75,3942.41,986.95,248.39,1.62,0.36,5.47,0.75,20111018,421.72,2.76,18.18,-3.85,14.19,2.52,264798.0
603667,五洲新春,机械基件,浙江,19.92,2.63,2.92,30.43,14.32,7.87,9.38,3.21,0.32,5.88,1.32,20161025,4.79,1.64,41.11,1.37,20.77,6.15,18797.0
603869,新智认知,软件服务,广西,30.65,5.05,5.05,66.83,39.39,8.07,25.47,5.05,0.302,7.7,1.6,20150326,8.46,1.68,-12.41,-47.03,32.66,8.7,20475.0
002636,金安国纪,元器件,上海,32.59,2.46,7.28,44.26,32.72,7.91,1.91,0.26,0.179,3.63,2.14,20111125,16.54,2.27,-19.11,-45.05,17.26,5.65,48320.0
600529,山东药玻,医疗保健,山东,33.41,5.04,5.95,50.95,30.07,16.5,9.13,1.54,0.573,6.3,4.06,20020603,19.01,3.19,12.29,30.01,37.09,15.82,12156.0
603023,威帝股份,汽车配件,黑龙江,67.75,4.46,4.46,8.16,6.75,0.8,0.79,0.18,0.045,1.48,2.77,20150527,0.76,0.17,-15.5,-44.13,48.12,20.58,22257.0
